and	ja
century	vuosisadan
century	vuosisata
edits	muokkaukset
debate	keskustelua
debate	väittely
debate	keskustelu
john	jukka
same	samoin
same	samaa
could	vois
could	voisi
english	englanti
english	englantia
english	englanniksi
english	englannin
album	levyn
number	lukumäärä
against	vastoin
against	vastaan
family	perhe
family	perheen
user	käyttäjää
user	käyttäjän
user	käyttäjä
user	käyttäjät
based	perustuva
based	perustuu
based	perustuvat
area	alue
life	elämää
life	elämän
life	elämä
british	brittiläiset
british	brittiläinen
international	kansainvälisen
international	kansainvälinen
international	kansainväliset
game	peliä
game	pelin
above	yläpuolelle
above	yläpuolelta
above	yllä
above	yläpuolella
above	edellä
club	seura
your	sinun
until	kunnes
early	aikaisin
early	varhainen
early	aikainen
best	parhaat
best	parhaiten
best	parasta
west	lännessä
west	läntinen
west	länsi
house	talon
general	yleinen
general	yleiset
general	yleistä
left	vasemmalle
left	vasen
left	vasemmalla
very	hyvin
very	erittäin
here	täällä
here	tässä
living	elävä
living	elää
living	eläminen
living	elävät
day	päivä
day	päivän
several	useita
several	useat
place	paikassa
place	paikka
party	osapuoli
party	juhla
party	puolue
party	juhlat
college	korkeakoulu
college	yliopisto
result	tulos
result	tuloksena
result	lopputulos
result	tuloksen
result	tulosta
keep	säilytä
keep	pidä
appropriate	tarkoituksenmukainen
appropriate	asianmukaiset
appropriate	asianmukainen
appropriate	sopivaa
appropriate	sopiva
four	neljä
subsequent	myöhemmät
subsequent	myöhempi
even	edes
even	jopa
government	valtio
government	hallitus
government	hallituksen
how	miten
how	kuinka
called	nimeltään
called	soitti
each	kunkin
found	löydetty
found	löytynyt
found	löydettiin
found	löysi
found	löyty
found	löytyi
center	keskus
center	keskelle
center	keskusta
long	pitkät
long	kauan
long	pitkä
long	pitkään
country	valtio
back	takaisin
back	selkä
way	keino
does	tekee
modify	muokata
modify	muokkaa
end	loppu
end	loppua
end	päättyy
end	lopussa
end	päättynyt
make	tehdä
public	julkinen
public	julkisen
public	julkiset
played	pelattu
played	soitettu
played	pelasi
won	voitin
won	voitti
won	voittanut
another	toinen
released	julkaistu
released	vapautuu
released	luovutettu
released	vapautettu
added	lisättiin
added	lisäsi
added	lisätty
support	tuen
support	tukea
support	tuki
games	pelejä
games	pelit
games	kisat
former	entinen
former	entiset
films	elokuvat
films	elokuvia
church	kirkon
church	kirkossa
church	kirkkoon
church	kirkko
church	seurakunta
east	itään
east	itäinen
line	viiva
members	jäseniä
members	jäsenet
good	hyvää
good	hyvä
much	paljon
much	paljo
show	näytä
still	vielä
still	vieläkin
still	edelleen
still	yhä
think	ajattele
think	mieti
below	alapuolelle
below	alapuolella
town	kaupunki
last	viimeisenä
last	viimeksi
last	viimeisin
last	viimeinen
last	viime
system	järjestelmän
system	systeemi
system	järjestelmä
song	biisi
song	kappale
notable	huomattava
section	jakso
section	pääluokka
single	sinkku
single	yksittäinen
included	sisällytetty
included	sisältyy
home	kotiin
home	kodin
home	kotona
women	naisten
women	naiset
women	naisia
seed	siemeniä
member	jäsen
member	jäsenen
goals	tavoitteita
goals	tavoitteet
sources	lähteet
book	kirja
book	kirjaa
book	varaa
station	metroasema
station	rautatieasema
order	tilata
order	tilaus
order	järjestys
order	tilaa
old	vanhat
old	vanhoja
old	vanha
old	vanhaa
information	tiedot
information	tiedotus
information	tietoa
information	tietoja
information	tiedottaminen
set	määritä
set	asettaa
set	aseta
set	asetettu
own	omista
own	oman
own	omat
text	tekstiä
text	tekstin
band	yhtye
point	pistettä
local	paikallinen
local	paikalliset
local	paikallisia
local	paikallisesti
local	paikallisten
local	paikallista
around	ympärillä
around	ympäri
around	maisemissa
top	huippu
top	huippua
top	ylä
top	suosituimmat
main	pääasialliset
main	pääasiallinen
main	tärkein
main	tärkeimmät
language	kieli
language	kielet
french	ranska
french	ranskalaiset
french	ranskalaisia
french	ranskalainen
named	nimeltään
note	huomautus
note	huom
original	alkuperäinen
original	alkuperäiset
age	iän
age	ikää
age	ikä
service	palvelun
service	palvelu
service	palvelua
established	perustettu
located	sijaitsee
said	sanoi
website	sivuston
website	sivusto
website	verkkosivusto
population	väestö
population	väkiluku
population	väestön
german	saksaa
german	saksalainen
german	saksan
law	oikeustieteen
law	lainsäädäntö
law	lakia
military	armeija
military	armeijan
great	hienoa
within	kuluessa
clubs	seurat
published	julkaistu
published	julkaistaan
published	julkaistut
published	julkaissut
president	puhemies
president	presidentti
president	puheenjohtaja
official	virkamies
official	viralliset
official	virallinen
case	tapauksessa
case	tapaus
london	lontoon
london	lontoossa
times	aikoja
times	ajat
times	kertaa
although	vaikka
although	tosin
although	vaikkakin
small	pienet
third	kolmannet
third	kolmanneksi
different	erilaiset
different	erilainen
different	erilaista
village	kylän
village	kylä
village	kylässä
village	kyl
closed	kiinni
closed	suljettu
art	taide
art	taidetta
player	pelaajan
player	pelaaja
final	lopullinen
community	yhteisön
community	yhteisö
held	pidetty
again	uudestaan
again	uudelleen
again	jälleen
began	alkanut
began	alkoi
began	aloitti
army	armeija
army	armeijan
award	palkintoa
award	palkinto
without	ilman
death	kuolemaa
death	kuoleman
death	kuolema
built	rakensi
built	rakennettu
men	miehiä
men	miesten
men	miehet
large	suuret
large	suuri
site	sivuston
site	sivusto
using	käyttää
using	käyttö
using	käyttäen
using	käyttämällä
deletion	poistaminen
deletion	poisto
deletion	poistamista
white	valkoiset
white	valkoinen
white	valkoista
five	viisi
children	lasten
children	lapsia
children	lapset
free	ilmaista
free	ilmainen
free	vapaa
free	ilmaiseksi
took	otti
association	yhdistys
down	alaspäin
given	annettu
source	lähde
man	mies
man	äijä
written	kirjoitettu
written	kirjalliset
created	luotu
created	luodut
created	luonut
created	luotiin
media	tiedotusvälineet
media	mediaa
media	tiedotusvälineiden
black	musta
black	mustaa
though	vaikka
though	tosin
report	kertomus
report	mietinnön
report	raportti
building	rakennuksessa
building	rakentaminen
building	rakennus
building	rakennuksen
take	ottaa
take	otetaan
division	jakoon
division	jaosto
comment	kommentti
comment	kommenttia
comment	kommentoi
comment	kommentin
king	kunkku
edit	muokkaa
died	kuolin
died	kuoli
died	kuolivat
ship	alusta
ship	aluksen
research	tutkimus
research	tutkimuksen
research	tutkimukset
record	kirjataan
record	ennätys
archive	arkistosta
archive	arkisto
archive	arkistot
places	paikat
places	paikkoja
cup	kuppia
records	levyt
often	usein
few	muutaman
few	muutama
received	vastaanotettu
received	saanut
received	saatu
side	puoli
side	puolella
power	teho
power	voima
power	voimia
power	valtaa
education	koulutus
know	tietää
know	tiedä
category	luokan
category	luokka
water	vettä
political	poliittinen
species	laji
species	lajit
species	lajien
field	kenttää
near	läheltä
near	lähellä
near	lähelle
video	videon
video	videossa
video	videota
need	tarvitaan
need	tarpeen
need	tarvita
need	tarvetta
form	muodosta
form	muoto
form	muodossa
form	lomake
find	löydä
find	etsi
find	etsiä
find	löytää
served	palveli
served	palvellut
play	soita
play	pelata
play	pelaa
project	hankkeen
works	toimii
works	teokset
works	työskentelee
proposed	ehdotetut
proposed	ehdotettu
development	kehittäminen
development	kehitystä
development	kehitys
example	esimerkki
live	livenä
live	elä
live	elää
union	unionin
india	intiaan
next	seuraava
next	seuraavaksi
special	erityiset
special	erityinen
special	erityistä
special	erikoinen
court	oikeus
court	tuomioistuin
region	alue
region	alueen
little	pikku
little	vähä
short	lyhyet
short	lyhyt
western	läntinen
western	länsi
son	poika
france	ranska
council	neuvosto
others	muut
others	toiset
royal	kuninkaalliset
royal	kuninkaallinen
current	tämänhetkinen
current	tämänhetkiset
current	nykyiset
current	nykyinen
full	täyden
full	täys
full	täydet
full	täysi
full	täynnä
red	punainen
too	liian
help	apua
help	ohje
among	joukossa
among	keskuudessa
preserved	säilynyt
preserved	säilytetty
open	avaa
force	voima
force	pakottaa
position	asento
position	sijainti
head	pää
head	päätä
head	pään
director	johtaja
track	jäljittää
track	rataa
george	yrjö
level	tasolla
late	myöhäinen
late	myöhässä
late	myöhään
summer	kesällä
summer	kesää
summer	kesä
society	yhteiskunta
society	yhteiskunnan
moved	siirretty
moved	siirrettiin
moved	muutti
office	toimipaikka
office	toimisto
period	jakso
period	ajanjakso
championship	mestaruuden
championship	mestaruus
round	kierros
round	pyöreä
story	tarina
songs	kappaleet
songs	laulut
songs	kappaleita
songs	lauluja
file	tiedostoa
file	tiedosto
days	päivien
days	päivää
days	päiviä
days	päivät
business	yritys
business	liiketoiminta
business	liike
business	liiketoiminnan
reason	järki
reason	syy
reason	syyn
million	miljoona
million	miljoonaa
european	euroopan
term	termiä
six	kuusi
six	kuudes
post	julkaise
post	julkaisu
post	julkaisun
why	miksi
produced	tuotetut
produced	tuotettu
produced	tuottanut
making	tekeminen
subject	aihe
subject	kohde
young	nuori
young	nuoret
total	yhteensä
science	tieteen
science	tiede
science	tiedettä
related	liittyvä
related	liittyvät
related	liittyy
rock	kallio
rock	rokkaa
archived	arkistoidut
led	johti
led	johtaneet
students	opiskelijat
students	opiskelijoille
students	oppilaat
students	oppilaita
students	opiskelijoita
started	alkanut
started	alkoi
started	aloitti
started	aloitettu
news	uutisia
news	uutinen
news	uutiset
news	ajankohtaista
described	kuvailtu
described	kuvaillut
described	kuvattu
role	roolin
role	rooli
election	vaali
election	vaalit
present	paikalla
present	läsnä
present	nykyinen
indian	intiaani
indian	intialaista
kingdom	kuningaskunta
kingdom	valtakunta
books	kirjat
books	kirjoja
important	tärkeä
important	tärkeää
important	tärkeät
important	tärkeitä
northern	pohjoinen
northern	pohjois
love	rakkautta
love	rakastaa
love	rakkaus
run	suorita
press	lehdistö
rather	pikemminkin
rather	mieluummin
act	näytös
act	säädös
act	toimi
editor	toimittaja
editor	päätoimittaja
came	tuli
schools	koulut
schools	kouluja
program	ohjelmaa
program	ohjelmalla
program	ohjelman
program	ohjelma
once	kerran
social	sosiaaliset
social	sosiaalisen
social	sosiaalinen
social	yhteiskunnallinen
germany	saksan
production	tuotanto
male	mies
male	uros
might	saattaa
might	saattaisi
awards	palkintoja
awards	palkinnot
points	pisteet
points	pisteitä
points	pistettä
points	kohdat
similar	samanlaisia
similar	samankaltaiset
similar	samankaltaista
similar	samanlaiset
similar	samanlainen
similar	samankaltainen
background	tausta
background	taustaa
background	taustatietoja
lead	lyijyä
lead	johda
lead	johtaa
either	joko
common	yleistä
common	yhteisen
common	yleiset
common	yleinen
data	tiedot
data	tietoja
data	tietoa
color	värit
color	väriä
color	väri
better	parempi
better	paremmin
person	ihminen
person	henkilö
person	henkilöä
services	palvelujen
services	palvelut
services	palveluja
museum	museossa
battle	taistelu
battle	taisto
battle	taistelun
sports	urheilua
sports	urheilu
buildings	rakennusten
buildings	kiinteistöt
buildings	rakennukset
buildings	rakennuksia
historic	historialliset
historic	historiallista
date	päivämäärä
date	päiväys
date	treffit
deleted	poistetut
deleted	poistettiin
deleted	poistettu
change	vaihda
change	muuta
change	muutos
change	muuttaa
location	sijainti
must	täytyy
yes	kyllä
our	meijän
our	meidän
southern	etelä
southern	eteläinen
least	vähiten
lost	menettänyt
lost	kadonnut
lost	hukassa
lost	hävisi
lost	hävinnyt
lost	menetetty
something	jotakin
something	jotain
review	tarkistaminen
review	arvostelu
review	tarkistaa
review	tarkastelu
together	kimpassa
together	yhdessä
fact	tosiasia
less	vähemmän
japanese	japanilaista
japanese	japanilainen
japanese	japanilaiset
groups	ryhmien
groups	ryhmät
groups	ryhmiä
content	sisältö
content	sisältöä
involved	osallisena
involved	osallistunut
board	johtokunta
board	johtokunnan
japan	japanissa
control	ohjaus
control	määräysvalta
control	hallinta
control	valvonta
policy	politiikan
policy	politiikka
policy	käytäntö
modern	nykyaikainen
human	ihmisen
human	ihminen
human	inhimillinen
half	puoli
half	puolet
half	puolikas
design	suunnittelu
design	suunnitella
design	muotoilu
event	tapahtuman
event	tapahtuma
event	tapahtumaan
events	tapahtumat
events	tapahtumien
events	tapahtumia
available	saatavissa
available	käytettävissä
available	tarjolla
available	saatavilla
done	tehty
real	todellinen
real	oikea
real	aito
real	todellista
start	alku
start	aloita
start	alkaa
start	aloittaa
start	käynnistä
personal	henkilökohtaisia
personal	henkilökohtaiset
personal	henkilökohtainen
personal	henkilökohtaista
action	toimintaa
action	toiminta
action	toimi
action	toimia
action	toiminto
space	avaruus
space	tilaa
areas	alueilla
areas	alueet
star	tähti
star	tähteä
star	tähden
star	tähdellä
really	todella
really	oikeesti
china	kiinassa
china	kiinan
china	kiina
china	kiinasta
possible	mahdollisia
possible	mahdolliset
possible	mahdollinen
possible	mahdollista
paul	paavali
working	töissä
working	työskentely
taken	ottaa
taken	otettu
far	kauas
far	kaukana
far	pitkälle
going	menossa
lake	järvessä
reported	ilmoitettu
reported	raportoitu
reported	ilmoitetut
popular	suosittu
popular	suosittua
popular	suosittuja
popular	suositut
married	naimisissa
founded	perustettiin
founded	perustettu
founded	perusti
europe	euroopan
author	tekijä
author	kirjailija
author	tekijän
author	esittäjä
author	kirjoittaja
away	pois
independent	itsenäiset
independent	riippumaton
independent	itsenäinen
teams	ryhmät
teams	joukkueet
low	vähä
low	alhainen
pages	sivujen
pages	sivuja
pages	sivut
light	kevyt
light	valoa
big	isot
big	suuri
seen	nähnyt
seen	nähty
seen	nähneet
release	vapauttaa
release	vapauta
release	julkaisu
episode	jakso
wrote	kirjoitti
wrote	kirjoitin
republic	tasavalta
thomas	tuomas
companies	yritysten
companies	yrityksiä
companies	yhtiöt
companies	yritykset
via	kautta
russian	venäjän
russian	venäjää
russian	venäläiset
russian	venäjä
russian	venäläinen
thanks	kiitos
thanks	kiitti
put	pistä
put	laita
put	laittakaa
race	rotu
worked	työskennellyt
worked	työskenteli
worked	toiminut
route	reittiä
route	reitti
recorded	kirjatut
recorded	kirjattu
recorded	kirjataan
someone	joku
someone	jonkun
police	poliisit
listed	lueteltu
listed	lueteltujen
listed	luetellut
users	käyttäjät
users	käyttäjien
users	käyttäjiä
template	pohja
template	mallissa
eastern	itäinen
body	keho
question	kysymyksen
question	kysymys
italian	italialaiset
italian	italialainen
featured	esitelty
featured	esillä
featured	suositeltu
week	viikon
week	viikolla
week	viikkoa
week	viikko
editors	toimittajat
chief	päällikkö
close	lähellä
close	sulje
himself	itse
himself	itseään
himself	itsensä
match	vastaavuus
match	täsmää
match	ottelu
opened	avattiin
opened	avasi
tour	kierros
tour	kiertue
cross	ylitä
cross	ristiin
playing	pelaamassa
playing	pelaa
health	terveyttä
health	terveys
forces	voimia
forces	joukot
forces	voimat
green	vihreä
green	vihreät
green	vihreää
rights	oikeudet
rights	oikeuksia
rights	oikeuksien
evidence	näyttö
evidence	todisteet
evidence	todistusaineisto
evidence	todisteita
originally	alunperin
arts	taide
probably	luultavasti
probably	todennäköisesti
probably	varmaan
consensus	yksimielisyys
bar	baarissa
problem	ongelmia
problem	ongelma
look	katso
issues	ongelmia
issues	kysymykset
issues	kysymyksiä
issues	ongelmat
average	keskimääräinen
average	keskiarvo
network	verkko
win	voitto
win	voita
win	voittaa
shows	osoittaa
shows	näkyy
shows	näyttää
wife	vaimon
wife	vaimolla
wife	vaimo
returned	palautettiin
returned	palautettu
night	öitä
night	yötä
night	ilta
night	yö
magazine	lehti
magazine	lehden
centre	keskus
centre	keskusta
joined	liittynyt
joined	liittyneet
joined	liittyivät
joined	liittyi
usually	yleensä
usually	tavallisesti
middle	keskimmäinen
middle	lähi
middle	keski
completed	suoritettu
completed	päätökseen
completed	päättynyt
significant	huomattava
significant	merkittävä
significant	merkittävät
significant	merkittäviä
significant	merkittävää
african	afrikkalainen
african	afrikkalaiset
stage	vaihe
stage	näyttämö
stage	vaiheessa
addition	lisäystä
addition	lisäys
ireland	irlannissa
today	tänään
saint	pyhä
saint	pyhimys
self	itse
itself	itsessään
itself	itsestään
continued	jatkoa
continued	jatkettiin
mother	äiti
appeared	ilmestyi
appeared	ilmestynyt
culture	kulttuuria
culture	kulttuuri
spanish	espanjan
spanish	espanjalaiset
spanish	espanjalainen
committee	valiokunta
things	asioita
things	asiat
fire	tuli
changed	muutettu
changed	muuttunut
changed	muutti
changed	vaihdettu
gold	kultaa
female	nainen
female	naisten
course	kurssi
directed	suunnattu
directed	kohdistettu
directed	kohdennettu
months	kuukaudet
months	kuukautta
months	kuukausia
chinese	kiinalainen
chinese	kiinalaiset
chinese	kiinan
chinese	kiina
chinese	kiinalaista
previous	aikaisemmat
previous	aiempi
previous	edellinen
previous	edelliset
previous	aiemmat
developed	kehittynyt
developed	kehitetty
developed	kehittyneet
developed	kehitettiin
mentioned	mainittu
add	lisää
add	lisätä
festival	juhla
festival	festivaali
festival	juhlaa
peter	pekka
move	siirrä
move	siirry
performance	suorituskyvyn
performance	tehokkuus
performance	esitys
performance	suoritus
performance	suorituskykyä
performance	suorituskyky
means	tarkoittaa
give	antaa
give	annetaan
training	koulutus
artist	taiteilija
artist	taiteilijan
artist	esittäjä
blue	sinistä
primary	ensisijainen
announced	ilmoitettu
announced	julkistettu
announced	ilmoitetut
announced	ilmoitti
value	arvoa
value	arvo
christian	kristityt
private	yksityisiä
private	yksityiset
private	sotamies
private	yksityisen
private	yksityinen
artists	taiteilijat
artists	taiteilijoiden
artists	taiteilijoita
includes	sisältää
view	näkymä
view	näytä
view	mieltä
thus	siten
almost	lähes
almost	melkein
seven	seitsemän
appears	ilmestyy
ever	ikinä
ever	koskaan
technology	tekniikka
olympics	olympialaiset
future	tulevaisuuden
future	tulevaisuus
future	tulevaisuutta
future	tulevaisuudessa
future	tulevaisuuteen
formed	muodostettu
formed	muodostunut
formed	muodostettiin
formed	muodostivat
census	väestönlaskenta
results	tulos
results	tulosten
results	tuloksia
results	tulokset
return	palaa
return	paluu
return	palautus
return	palauta
quality	laadukas
quality	laatu
quality	laatua
construction	rakentaminen
front	edessä
front	edestä
cover	kattaa
cover	suojaa
model	mallia
model	mallissa
despite	huolimatta
read	luettu
read	lukea
read	lue
material	aineisto
material	materiaalia
material	materiaalin
strong	vahvat
strong	vahva
strong	vahvaa
strong	voimakas
coach	valmentaja
mark	merkkaa
mark	merkitse
mark	merkki
organization	järjestö
studies	selvitykset
studies	tutkimuksia
studies	tutkimukset
federal	liittovaltion
federal	liittovaltio
virginia	virginiassa
car	autoa
car	auton
car	autolla
attack	hyökkäys
conference	kokous
conference	konferenssi
conference	konferenssin
outside	ulkona
outside	ulkopuolella
outside	ulkopuolelle
study	tutkimus
study	tutkimuksen
study	opiskelu
study	tutkimuksessa
study	opiskella
names	nimet
names	nimiä
writer	kirjoittaja
writer	kirjailija
writer	käsikirjoittaja
characters	merkkejä
characters	merkkiä
characters	hahmot
characters	merkit
medical	lääketieteelliset
medical	lääketieteellinen
medical	lääketieteen
countries	maissa
countries	valtiot
past	mennyttä
past	menneisyys
writing	kirjoittaminen
writing	kirjoitus
writing	kirjoittaa
writing	kirjoitusta
makes	tekee
interest	etua
interest	korko
interest	kiinnostus
provided	edellyttäen
killed	tappoi
signed	allekirjoitus
signed	allekirjoittanut
signed	allekirjoitettu
largest	suurimpia
largest	suurimmat
largest	suurin
label	etiketti
fair	oikeudenmukainen
search	etsi
search	etsintä
reference	viittaus
reference	viite
especially	erityisesti
especially	varsinkin
especially	etenkin
removed	poistetut
removed	poistettiin
removed	poistettu
library	kirjastosta
library	kirjastossa
library	kirjastoon
library	kirjaston
library	kirjasto
eventually	lopulta
management	hallinnointi
management	hallinto
management	johto
management	hallinta
references	viittaukset
references	viitteet
features	ominaisuuksia
features	ominaisuudet
navy	laivaston
navy	laivastoon
navy	laivasto
hill	mäki
historical	historialliset
historical	historiallista
lower	alhaisempi
lower	pienempi
daughter	tytär
appointed	nimitetty
appointed	nimetyt
reading	lukema
reading	käsittelyssä
reading	lukemista
yet	vielä
yet	silti
systems	järjestelmät
systems	järjestelmien
debut	debyytti
movement	liikkuvuuden
movement	liike
movement	liikkuvuus
specific	erityiset
specific	erityinen
specific	erityisiä
specific	erityistä
actor	näyttelijä
natural	luonnolliset
natural	luonnollinen
natural	luonnon
natural	luonnollista
clear	tyhjennä
clear	selvää
clear	kirkas
coast	rannikolla
chicago	chicagossa
championships	mestaruutta
ten	kymppi
ten	kymmenen
performed	suoritetut
individual	yksittäiset
individual	yksilö
individual	yksittäisten
individual	yksilöllinen
individual	yksittäinen
designed	suunniteltiin
designed	suunnitellut
designed	suunniteltu
rule	sääntö
rule	sääntöä
etc	jne
lists	luettelot
thought	luulin
thought	ajatus
thought	luuli
brown	ruskea
hand	käsi
hand	käden
needs	tarvitsee
needs	tarpeet
needs	kaipaa
reliable	luotettavaa
reliable	luotettava
smith	seppä
generally	yleisesti
generally	yleensä
base	pohja
base	perusta
sometimes	joskus
sometimes	toisinaan
florida	floridassa
capital	pääkaupunki
capital	pääoman
capital	pääoma
bank	pankkiin
bank	pankki
bank	pankin
gave	antanut
gave	antoi
ground	maahan
reached	saavuttanut
reached	päästy
reached	saavutettu
reached	saavutti
reached	saavutettiin
italy	italiassa
energy	energiaa
believe	uskoa
believe	uskoo
believe	usko
leader	johtaja
active	aktiiviset
bridge	komentosilta
bridge	sillan
bridge	silta
changes	muutokset
changes	muutoksia
followed	seurasi
followed	seurannut
followed	seurattu
followed	seurasin
industry	teollisuus
industry	toimiala
industry	teollisuuden
collection	kokoelma
collection	keräys
collection	kerääminen
request	pyytää
request	pyyntö
request	pyyntöä
request	pyydä
soon	pian
leading	johtavan
leading	johtava
leading	johtavat
leading	johtaa
sold	myi
sold	myyty
sold	myydään
writers	kirjailijoita
mexico	meksikossa
mexico	meksikoon
competition	kilpailun
competition	kilpailu
campaign	kampanjassa
campaign	kampanjaa
theatre	teatteria
empire	valtakunta
length	pituus
create	luoda
create	luo
additional	lisä
soviet	neuvostoliitto
words	sanoja
producer	tuottaja
notes	toteaa
notes	muistiinpanot
notes	muistiinpanoja
notes	huomautuksia
notes	huomautukset
hockey	jääkiekko
hockey	jääkiekkoa
code	koodi
referee	tuomari
fourth	neljäs
fourth	neljänneksi
sport	laji
sport	urheilun
sport	urheilu
airport	lentokenttä
airport	lentokentälle
airport	lentoasema
sound	ääntä
sound	äänet
sound	äänen
sound	ääni
status	tilanne
irish	irlantilaiset
irish	irlantilainen
placed	laitettu
placed	sijoitettu
child	lapsen
child	lapsi
perhaps	ehkä
perhaps	ehkäpä
idea	ajatus
register	rekisteriin
register	rekisteröi
register	rekisteri
register	rekisteröityä
eight	kahdeksan
problems	ongelmia
problems	ongelmat
coverage	kattavuutta
coverage	kattavuus
coverage	kattavuuden
channel	kanava
username	käyttäjätunnus
username	käyttäjänimi
minor	alaikäinen
minor	vähäinen
says	sanoo
whose	jonka
whose	joiden
whose	kenen
foundation	säätiö
foundation	säätiön
foundation	perusta
units	yksikköä
units	yksiköt
movie	elokuva
runs	juoksee
ice	jää
ice	jäitä
ice	jäät
ice	jäätä
simply	yksinkertaisesti
limited	rajoitettu
unit	yksikköä
unit	yksikkö
student	opiskelijan
student	opiskelija
student	ylioppilas
student	oppilas
previously	aikaisemmin
previously	aiemmin
stated	totesi
test	testaa
nominated	ehdolla
nominated	nimetyt
bill	laskuttaa
bill	lasku
parts	osat
parts	osia
vocals	laulut
theory	teoriaa
regional	alueellinen
regional	alueelliset
regional	alueellisten
account	tiliä
account	tilin
account	huomioon
vote	äänestä
vote	äänestys
vote	äänioikeus
vote	äänestää
computer	tietokoneet
computer	tietokone
computer	tietokoneen
tournament	turnaukseen
tournament	turnauksen
poland	puola
poland	puolaa
poland	puolan
wales	walesissa
winning	voittaa
winning	voitto
winning	voitolla
winning	voittaminen
hospital	sairaala
hospital	sairaalassa
taking	ottaa
taking	ottaen
taking	ottamassa
mountain	vuori
mountain	vuorta
mountain	vuoristo
higher	korkeampi
higher	suurempi
cases	tapaukset
cases	tapauksissa
editing	muokkaaminen
editing	muokkaus
replaced	tilalle
replaced	korvattu
replaced	korvattiin
food	ruokaa
food	elintarvikkeet
food	ruoka
multiple	useita
