and	그리고
deleted	삭제함
deleted	삭제되었습니다
change	바뀌기
change	변화
change	변경
change	바꾸기
location	위치
yes	예스
our	우리의
southern	남부
southern	남방
least	최소
lost	분실
lost	로스트
lost	잃어버린
something	무엇인가
something	뭔가
something	무언가
review	검토
review	검토하기
review	검수
review	리뷰
together	함께
together	같이
robert	로버트
fact	팩트
fact	사실
japanese	일본어
japanese	일본
japanese	일본인
groups	그룹
content	콘텐츠
content	컨텐츠
content	내용
board	보드
board	게시판
board	이사회
japan	재팬
japan	일본
control	통제
control	제어
control	제어하기
control	컨트롤
policy	정책
policy	방침
modern	모던
modern	현대
modern	근대
modern	근황
human	인간
human	인체
human	인간인
half	절반
design	설계
design	디자인
event	이벤트
events	이벤트
events	행사
done	완료
washington	워싱턴
real	진짜
real	리얼
real	레알
start	시작하기
start	시작
personal	개인적
personal	개인적인
personal	개인용
personal	개인
action	행동
action	활동
action	작업
action	동작
action	액션
space	스페이스
space	공간
space	우주
areas	영역
star	항성
really	정말로
really	정말
china	중국인
china	중국
china	차이나
possible	가능한
possible	가능
paul	파울로스
paul	파울로
paul	바울
paul	파울
working	일하기
far	멀다
minister	장관
lake	호수
lake	호야
popular	인기가요
popular	인기
popular	인기가
married	결혼
founded	설립
europe	유럽
author	작가
author	저자
author	제작자
author	작성자
independent	독립
independent	독립적
process	프로세스
process	절차
process	과정
low	낮은
low	낮음
michael	마이클
michael	미하엘
michael	미카엘
pages	페이지
light	가볍게
light	가벼운
light	라이트
light	가벼움
seen	읽음
release	출시
release	발매
release	릴리스
release	릴리즈
release	개봉
episode	에피소드
republic	공화국
thomas	토머스
thomas	토마스
companies	회사
via	비아
russian	러시아인
russian	러시아어
race	레이스
race	경주
race	인종
race	경쟁
route	노선
route	경로
recorded	녹음
recorded	녹화
someone	누군가
police	경찰
police	경찰관
charles	샤를
charles	찰스
listed	나열
users	사용자
template	템플릿
instead	대신
instead	대신에
eastern	동부
eastern	동방
body	시체
body	몸매
body	몸매가
question	질문
italian	이탈리아
italian	이탈리아인
italian	이탈리아어
featured	추천
featured	대표
week	주일
week	일주일
editors	편집자
editors	편집기
editors	에디터
texas	텍사스
chief	과장
chief	치프
close	닫기
close	닫습니다
close	닫아
match	일치하기
match	일치합니다
match	매치
match	일치
roman	로만
roman	로마
opened	개설
tour	투어
tour	관광
tour	둘러보기
tour	구경
tour	여행
sea	바다
actually	사실
actually	실제로
cross	교차
cross	십자
cross	십자가
cross	크로스
health	체력
health	헬스
health	건강
health	보건
institute	연구소
green	녹색
green	그린
green	초록색
green	초록
rights	권리
evidence	증거
originally	원래
arts	예술
probably	아마도
probably	아마
problem	문제
look	표정
issues	쟁점
issues	이슈
issues	문제
average	평균
network	네트워크
win	승리
wife	마누라
wife	와이프
wife	아내
night	밤에
night	나이트
magazine	잡지
magazine	매거진
centre	중앙
centre	센터
joined	가입했습니다
usually	보통
middle	중간
middle	가운데
completed	완료
completed	완료되었습니다
elected	선출
african	아프리카
stage	스테이지
stage	무대
addition	덧셈
ireland	아일랜드
today	오늘도
today	오늘
saint	세인트
itself	자체
stations	스테이션
mother	엄마
mother	어머니
africa	아프리카
culture	문화
spanish	스페인어
grand	그랜드
committee	위원회
things	것들
things	사물
fire	화재
fire	불화
changed	변경되었습니다
changed	바꿨다
changed	변경됨
gold	골드
gold	황금
female	암컷
female	여성
course	코스
course	과정
directed	감독
months	개월
chinese	중국인
chinese	중국어
previous	이전
developed	선진
add	추가하기
add	추가
festival	축제
festival	페스티벌
peter	베드로
peter	피터
basketball	농구
across	건너편
move	움직여
move	움직임
move	이동
performance	공연
performance	성과
performance	성능
standard	스탠더드
standard	표준
training	훈련
training	트레이닝
artist	음악가
artist	예술가
artist	아티스트
artist	아티스트가
word	워드
word	단어
blue	파란색
blue	청색
blue	푸른
blue	블루
blue	파랑
blue	푸른색
announced	발표
value	가치
christian	기독교
christian	크리스티안
christian	크리스천
christian	크리스찬
private	비공개
catholic	가톨릭주의
catholic	가톨릭
artists	음악가
artists	예술가
artists	아티스트
artists	아티스트가
includes	포함
includes	포함됨
view	조회
view	보기
almost	거의
baseball	베이스볼
baseball	야구
seven	세븐
seven	일곱
appears	나타납니다
technology	기술
olympics	올림픽
future	미래
future	퓨처
census	인구조사
results	결과
return	반납
return	반환
return	리턴
return	귀환
return	복귀
quality	품질
quality	퀄리티
quality	화질
quality	화질이
construction	공사
construction	건설
construction	건축
cover	커버
cover	덮개
cover	표지
model	모델
model	모형
despite	불구하고
read	읽음
read	읽어보기
read	읽기
read	읽는다
read	읽고
material	물질
material	재료
material	소재
strong	강한
strong	스트롱
coach	코치
henry	헨리
mark	표시
mark	마르크
mark	마크
rev	레브
organization	조직
organization	기구
organization	단체
studies	공부
federal	연방
richard	리차드
richard	리처드
virginia	버지니아
car	자동차
car	차량
attack	공격
conference	회담
conference	콘퍼런스
conference	회의
outside	밖에서
outside	외부
outside	바깥
study	공부해
study	공부하기
study	공부
study	연구
brother	오빠
brother	아우
names	이름
writer	작가
characters	문자
characters	등장인물
musical	뮤지컬
nothing	아무것도
medical	의학
medical	의료
past	과거
writing	쓰기
writing	글쓰기
interest	이자
interest	관심사
interest	관심
interest	흥미
label	레이블
label	라벨
fair	공정
fair	박람회
fair	페어
search	찾기
search	검색
search	검색하기
bay	베이
reference	참조
reference	참고
especially	특히
removed	삭제됨
removed	삭제되었습니다
library	라이브러리
library	도서관
management	경영
management	관리
references	참조
references	참고
features	특징
features	기능
navy	해군
navy	네이비
guitar	기타
hill	언덕
historical	역사
lower	아래쪽
daughter	딸이
reading	독서
reading	읽고
reading	읽기
yet	아직
systems	체계
systems	시스템
debut	데뷔해
debut	데뷔
movement	움직임
movement	운동
specific	구체적
specific	특정
specific	구체
always	항상
always	언제나
actor	배우
natural	자연
natural	천연
clear	지우기
clear	지우
clear	맑음
coast	코스트
coast	해안
chicago	시카고
pennsylvania	펜실베이니아
individual	개별
individual	개인
rule	법칙
rule	규칙
etc	등등
lists	리스트
lists	목록
paris	파리
thought	생각
brown	갈색
brown	브라운
hand	핸드
needs	필요
reliable	신뢰성
smith	스미스
generally	일반적으로
base	기지
base	베이스
sometimes	때로는
sometimes	가끔은
sometimes	가끔
sometimes	때때로
florida	플로리다
capital	자본
capital	수도
capital	캐피탈
capital	자본주의
capital	캐피털
valley	골짜기
valley	밸리
valley	계곡
bank	뱅크
bank	은행
ground	그라운드
reached	도달
italy	이탈리아
energy	에너지
believe	믿기
leader	리더
leader	지도자
active	활성화
active	활동
active	액티브
active	활성
block	차단
block	블록
block	블럭
bridge	다리
bridge	브리지
changes	변화
changes	변경
followed	팔로우
industry	업계
industry	산업
collection	콜렉션
collection	컬렉션
collection	모음집
request	요청
request	요청하기
sold	팔렸다
sold	판매
writers	작가
studio	스튜디오
mexico	멕시코
competition	경쟁
campaign	캠페인
campaign	전역
theatre	연극
theatre	극장
anything	무엇이든
anything	뭐든
anything	아무거나
particular	특정
empire	엠파이어
empire	제국
length	길이
islands	제도
create	만듭니다
create	만들기
create	생성
create	만드세요
redirect	리다이렉션
soviet	소련
words	단어
producer	프로듀서
producer	제작자
notes	노트
hockey	하키
novel	소설
code	코드
code	부호
referee	심판
fourth	넷째
fourth	네번째
sport	스포츠
mary	메리
mary	마리아
airport	공항
airport	국제공항
sound	소리
sound	사운드
status	상태
irish	아일랜드어
irish	아일랜드인
child	아이유
perhaps	아마도
perhaps	아마
idea	아이디어
register	레지스터
register	등록
eight	여덟
problems	문제
native	네이티브
channel	채널
edition	에디션
foundation	파운데이션
foundation	재단
units	유닛
units	단위계
units	단위
movie	영화
runs	달리기
runs	러닝
ice	빙빙
ice	얼음
ice	아이스
simply	간단히
simply	단순하게
simply	단순히
limited	한정
limited	제한된
unit	유닛
unit	단위
student	학생
test	테스트
test	시험
bill	윌리엄
parts	부품
parts	부분
vocals	보컬
theory	이론
account	계좌
account	계정
vote	투표
computer	컴퓨터
none	없음
carolina	카롤리나
carolina	캐롤라이나
tournament	토너먼트
tournament	대회
poland	폴란드
wales	웨일스
winning	우승
winning	승리
hospital	병원
mountain	산악
cases	케이스
cases	사례
angeles	앤젤레스
editing	편집
editing	수정
food	푸드
food	음식
food	식량
food	식품
multiple	다중
likely	가능성
terms	약관
terms	용어
sir	선생님
square	제곱
square	스퀘어
square	광장
square	사각형
square	정사각형
topic	주제
woman	여인
woman	여자
woman	여성
officer	책임자
officer	경관
officer	경찰관
officer	장교
categories	카테고리
categories	카테고리가
categories	범주
categories	분류
greek	그리스어
greek	그리스
recent	최근
sent	보냄
sent	전송
copyright	저작권자
copyright	저작권
speed	속력
speed	속도
speed	스피드
templates	템플릿
money	머니
money	돈이
saw	쏘우
politician	정치인
politician	정치가
politician	정치
required	필요함
required	필수
regular	정규
regular	보통
commercial	상용
commercial	상업용
commercial	상업
cities	도시
contains	포함함
contains	포함
contains	포함됨
trade	무역
trade	트레이드
degree	학위
anti	안티
birth	출생
birth	탄생
birth	출산
sun	햇볕
sun	태양
finished	완료
finished	완료되었습니다
earth	대지
earth	지구
access	접속
access	접근
access	액세스
seasons	시즌
seasons	계절
journal	학술
journal	학술지
journal	저널
software	소프트웨어
famous	유명한
famous	유명해
famous	유명인
famous	유명하다
famous	유명
religious	종교
appear	나타납니다
martin	마르틴
martin	마틴
god	하느님
god	하나님
bit	비트
running	달리기
running	런닝
missing	실종
missing	누락
economic	경제
structure	구조물
structure	구조
decision	의사결정
decision	결정
certain	특정
quite	상당히
hit	히트
spain	스페인인
spain	스페인
plays	연극
plays	연주
plays	재생
joseph	조셉
joseph	요제프
joseph	조제프
joseph	조지프
joseph	요셉
lord	주님
web	웹툰
decided	결심
operations	작전
operations	운영
function	함수
louis	루이스
louis	루이
queen	여왕
security	안보
security	보안
uses	사용
ohio	오하이오
owned	소유
operation	작동
operation	작전
call	통화
call	전화
call	호출
successful	성공적
successful	성공함
successful	성공
successful	성공적인
legal	법률
legal	합법적인
prince	프린스
prince	왕자
mean	평균
jewish	유대인
jewish	유대교
staff	직원
staff	스탭
staff	직원들
goal	목표
towards	향해
agree	동의
bad	나쁜
bad	나쁘다
attendance	출석
attendance	참석
nature	자연
allowed	허용
captain	캡틴
captain	대위
captain	선장
mount	마운트
structures	구조물
structures	구조
hard	열심히
hard	하드
hard	어려워
manager	관리자
manager	매니저
earlier	아까
elections	선거
meet	만나
box	상자
box	박스
lines	라인
democratic	민주당
success	성공적
success	성공함
success	성공
associated	연관
singles	싱글
traditional	전통적
traditional	전통적인
traditional	전통
rest	쉬어
rest	휴식
matter	물질
particularly	특히
wide	넓은
wide	와이드
wide	넓이
care	케어
admin	운영자
admin	관리자
commission	위원회
plan	플랜
plan	계획
therefore	그러므로
practice	연습생
practice	연습
command	커맨드
command	명령
command	명령어
command	사령부
command	지휘
jersey	저지
parties	파티
anyone	아무나
anyone	누구나
approximately	대략
master	마스터스
master	마스터
usa	미국
stop	중지
stop	멈추기
stop	중단
stop	정지
feature	기능
engine	엔진
response	대응
response	반응
response	응답
needed	필요함
illinois	일리노이
experience	경험
experience	체험
highest	최고
engineering	공학
engineering	엔지니어링
silver	실버
separate	분리
separate	따로따로
separate	따로
secretary	비서
dutch	네덜란드
dutch	네덜란드인
dutch	네덜란드령
dutch	네덜란드어
recording	녹음
recording	녹화
prime	소수
prime	프라임
rules	규칙
uploaded	업로드
youth	청년
youth	청소년
youth	젊음
youth	청춘
scotland	스코틀랜드
houses	주택
heart	하트
heart	심장
heart	마음
stone	스톤
stone	석기
shown	표시됨
shown	표시된
deal	거래
drama	드라마
scores	점수
scores	득점
dead	사망
dead	데드
key	키키
turn	턴제
occupation	점령
scottish	스코틀랜드
scottish	스코틀랜드인
plant	공장
plant	식물
plant	식물학
villages	마을
languages	언어
internet	인터넷
leave	떠나
leave	떠나기
feel	기분
feel	느낌
covered	커버
covered	덮여
merge	병합
merge	합치기
merge	통합
mostly	주로
mostly	대부분
ancient	고대
attempt	시도
property	자산
property	재산권
property	속성
property	재산
programs	프로그램
picture	사진
picture	그림
finally	마침내
finally	드디어
fiction	소설
fiction	픽션
fiction	허구
secondary	중등
majority	다수
edward	에드워드
digital	디지털
mission	미션
mission	선교
lived	살았던
seat	좌석
seat	자리
profile	프로파일
profile	프로필
dance	댄스
dance	무용
georgia	조지아어
georgia	조지아
port	항구
port	포트
pacific	태평양
pacific	퍼시픽
pass	패스
transport	교통수단
transport	운송
transport	수송
transport	교통
organizations	단체
ratio	비율
recently	최근
recently	최근에
fall	떨어지지
fall	떨어지는
fall	떨어짐
global	글로벌
global	전역
era	시대
wing	날개
opinion	의견
commander	지휘관
commander	사령관
commander	커맨더
fort	포트
fort	요새
effect	영향
effect	효과
opening	오프닝
opening	개봉
fine	미세먼지
purpose	목적
winter	겨울
winter	윈터
overall	전반적으로
overall	전체적으로
overall	전반
activities	활동
income	소득
income	수입
massachusetts	매사추세츠
older	이전
peak	피크
lack	부족
bass	베이스
bass	배스
super	슈퍼
complex	콤플렉스
complex	복합체
academic	학문
academic	학업
academic	학술
stars	항성
stars	스타
accounts	계좌
accounts	계정
appearance	외모
appearance	모양
appearance	출연
asian	아시아
friends	친구
friends	프렌즈
friends	친구들이
friends	친구들
kind	친절한
kind	종류
kind	친절
financial	재무
financial	금융
entry	항목
asia	아시아
sense	센스
sense	감각
meaning	의미
actress	배우
actress	여배우
map	지도
bishop	비숍
bishop	주교
boston	보스턴
rate	평가
rate	비율
literature	문학
voice	목소리
voice	음성
jack	젝스키스
justice	정의
britain	브리튼
champion	챔피언십
champion	챔피언
double	더블
polish	폴란드어
polish	폴란드
numbers	숫자
columbia	콜롬비아
columbia	콜럼비아
columbia	컬럼비아
temple	템플
temple	신전
temple	사원
defeated	패배
administration	행정학
ended	종료되었습니다
claims	주장
claims	발급
jones	존스
actors	배우
sister	여동생
sister	언니
sister	누나
nine	아홉
scored	득점
table	탁자
table	식탁
table	테이블
newspaper	신문
friend	친구
winner	승리자
winner	우승자
winner	승자
chart	차트
loss	상실
loss	손실
sites	사이트
starting	시작
architecture	아키텍처
architecture	건축학
architecture	건축
relations	관계
upper	윗쪽
upper	상위
supported	지원합니다
supported	지원
supported	지원함
tracks	트랙
contract	계약
contract	계약서
face	얼굴
face	얼굴이
spent	지출
girl	소녀
clearly	명확하게
clearly	명백하게
clearly	명백히
junior	주니어
francisco	프란시스코
politics	정치
politics	정치학
cause	원인
volume	볼륨
tom	탐라
flight	항공편
flight	비행
candidate	후보
candidate	후보자
matches	일치하는
matches	성냥
matches	일치
except	빼고
oil	오일
oil	석유
oil	기름
assistant	조교
assistant	조수
assistant	보조
surface	표면
surface	지표면
victory	승리
regiment	연대
stories	스토리
stories	소식
listing	품목
allow	허용
allow	허용하기
branch	지점
branch	분기
retired	은퇴
retired	퇴직
communities	커뮤니티
communities	공동체
train	열차
train	기차
train	트레인
paper	종이
paper	페이퍼
paper	용지
adding	추가하기
adding	추가
victoria	빅토리아
metal	메탈
metal	금속
wrong	잘못된
direct	직접
direct	직통
direct	다이렉트
frank	프랑크
frank	프랭크
miles	마일스
miles	마일리지
miles	마일
miles	마일리
miles	마일즈
blocked	차단
blocked	차단됨
blocked	차단되었습니다
launched	시작됨
mass	미사
mass	매스
mass	대량
mass	질량
chairman	회장님
chairman	회장
comedy	코미디
comedy	희극
comedy	코메디
relationship	연애
relationship	관계
knowledge	지식인
knowledge	지식
format	형식
format	포맷
format	형식으로
creek	크리크
meeting	모임
meeting	회의
meeting	만남
meeting	미팅
failed	실패
officers	장교
draft	초안
draft	드래프트
draft	임시
fight	싸워라
fight	싸움
fight	싸우기
fight	싸워
fight	싸우다
figure	그림
faculty	학부
faculty	교수
camp	캠프
variety	다양체
variety	버라이어티
owner	주인
owner	소유자
statistics	통계
statistics	통계학
raised	길러
heavy	무겁게
heavy	무거워
heavy	무거운
heavy	무거움
alexander	알렉산드르
alexander	알렉산더르
alexander	알렉산더
alone	홀로
alone	혼자
episodes	에피소드
educational	교육
daily	일일
daily	데일리
daily	일간
daily	일상
williams	윌리암스
williams	윌리엄스
latin	라틴
latin	라틴어
completely	완전히
products	상품
products	제품
dark	어둡게
dark	다크
dark	어두운
dark	어둠
attention	관심
attention	주의
attention	시선
religion	종교
mind	마음
corps	군단
administrative	행정
cut	잘라
scott	스콧
scott	스캇
mayor	시장
beach	바닷가
beach	해변
beach	비치
leaving	떠나
leaving	떠나기
cast	깁스
cast	캐스트
cast	캐스팅
territory	영토
territory	준주
write	쓰기
write	글쓰기
forms	양식
inside	인사이드
inside	내부
individuals	개인
authority	권위
mention	언급
mention	언급하기
projects	프로젝트
continue	계속
continue	계속하기
cost	비용
drive	드라이브
notice	공지
johnson	존슨
forced	강제
forced	강제로
basis	기초
basis	근거
basis	기저
reasons	이유
job	직업
job	욥기
photo	사진
hope	희망
log	로그
parents	부모
parents	부모님
mike	마이크
basic	기본
basic	기초
basic	베이직
scientific	과학
amount	금액
spring	봄이
spring	스프링
oxford	옥스포드
oxford	옥스퍼드
opera	오페라
critical	크리티컬
simple	단순
simple	간단
simple	심플
simple	단순한
simple	간단하다
simple	간단한
founder	설립자
founder	창시자
founder	창립자
hong	홍대
husband	남편
useful	유용하다
useful	유용합니다
useful	유용
technical	테크니컬
technical	기술
technical	기술적
mountains	산맥
importance	중요성
musicians	음악가
musicians	연주자
musicians	뮤지션
hotel	호텔
girls	소녀
girls	소녀들
girls	걸스
crew	크루
crew	승무원
boy	소년
boy	남자아이
boy	보이
nation	네이션
nation	국민
defense	방위
defense	국방
defense	방어
defense	디펜스
wiki	위키
wiki	위키위키
champions	챔피언스
champions	챔피언
golden	황금
golden	골든
faith	믿음
faith	신념
faith	신앙
racing	경주
racing	레이싱
mainly	주로
auto	자동
lives	생명
swedish	스웨덴어
swedish	스웨덴
swedish	스웨덴인
hot	덥다
hot	뜨겁다
hot	뜨거운
entertainment	엔터테인먼트
entertainment	오락
creation	생성
creation	창조
creation	만들기
product	제품
tower	타워
increased	증가
votes	득표
votes	투표
contemporary	현대
marriage	혼인
marriage	결혼
questions	질문
details	세부사항
forward	전진
forward	전달
forward	앞으로
memorial	메모리얼
memorial	기념비
memorial	기념관
peace	피스
peace	평화
analysis	해석학
analysis	해석
analysis	분석
winners	우승자
winners	수상자
winners	승자
poor	불쌍한
grade	성적
grade	학년
cricket	크리켓
judge	판단
judge	판사
electric	전기
exist	존재
exist	존재함
corporation	코퍼레이션
corporation	주식회사
featuring	피처링
campus	캠퍼스
brazil	브라질
chris	크리스
beyond	비욘드
fifth	다섯번째
increase	증가
remaining	남음
statement	성명서
statement	진술
broadcast	방송
piano	피아노
novels	소설
hour	시간
moving	이사
moving	움직임
resolution	해상도
resolution	결의
concept	컨셉
concept	개념
alternative	대안
alternative	얼터너티브
brothers	형제
brothers	브라더스
brothers	형제들
attacks	공격
encyclopedia	대백과사전
encyclopedia	백과사전
republican	공화당
politicians	정치인들
politicians	정치인
politicians	정치가
