and	और
high	ऊँची
district	जिला
district	डिस्ट्रिक्ट
district	जिलाध्यक्ष
district	ज़िला
now	अब
now	अभी
comments	टिप्पणियां
comments	टिप्पणियाँ
because	क्योंकि
because	क्योकि
because	क्युकी
football	फुटबॉल
football	फुटबाल
football	फ़ुटबॉल
music	संगीत
music	म्यूज़िक
century	शतक
century	शताब्दी
century	सदी
league	लीग
edits	संपादन
debate	बहस
articles	लेख
articles	आलेख
john	जॉन
same	समान
same	वही
including	सहित
english	अंग्रेज
english	अंग्रेज़ी
album	एल्बम
number	संख्या
number	नंबर
against	खिलाफ
family	फैमिली
family	परिवार
user	यूजर
user	उपयोगकर्ता
user	उपयोक्ता
based	आधारित
area	क्षेत्र
life	जिंदगी
life	ज़िन्दगी
life	ज़िंदगी
life	जिन्दगी
life	जीवन
british	ब्रिटिश
british	अंग्रेजों
international	अंतर्राष्ट्रीय
international	अंतरराष्ट्रीय
game	गेम
game	खेल
above	अरदास
above	ऊपर
club	क्लब
club	क्लबों
your	आपकी
your	आपके
your	आपका
your	अपने
your	अपना
until	तक
until	जबतक
early	जल्दी
best	बेस्ट
best	बेहतरीन
house	घर
house	मकान
house	हाउस
general	जनरल
general	सामान्य
left	बायां
left	शेष
left	बाएं
left	बाएँ
very	बहुत
here	यहां
here	यहा
here	यहाँ
don	डॉन
living	सजीव
living	जीना
day	दिन
several	कई
place	जगह
place	स्थान
place	प्लेस
party	दल
party	पार्टी
college	कॉलेज
result	रिजल्ट
result	परिणाम
keep	रखें
keep	रखना
appropriate	उचित
four	चार
even	भी
government	सरकार
how	केसे
how	कैसे
how	कैसा
called	बुलाया
called	पुकारा
did	किया
found	मिली
found	मिले
found	पाये
found	पाया
found	मिला
center	केंद्र
center	मध्य
center	बीच
per	स्वादानुसार
long	लंबी
long	लंबा
long	लम्बी
back	पीछे
back	बैक
back	पिछे
back	वापस
way	तरीका
way	राह
way	मार्ग
way	रास्ते
way	रास्ता
does	करता
modify	सुधारें
end	अंत
end	समाप्त
make	बनाओ
make	बना
make	मेक
public	जनता
public	पब्लिक
played	निभाई
won	जीता
won	जीते
won	जीती
support	समर्थन
games	गेम्स
games	गेम
games	खेल
church	गिरजाघर
church	चर्च
east	ईस्ट
line	लाइन
line	पंक्ति
line	रेखा
line	लकीर
major	मेजर
major	प्रमुख
members	सदस्यों
good	अच्छे
good	गुड
good	शुभ
show	दिखाओ
show	शो
show	दिखाएं
show	दिखाएँ
think	सोचो
below	नीचे
town	बस्ती
town	नगर
town	कस्बा
last	अंतिम
last	आखरी
last	आखिरी
last	पिछला
system	तंत्र
system	सिस्टम
system	प्रणाली
right	सही
song	गीत
song	सोंग
section	धारा
section	खंड
section	अनुभाग
section	खण्ड
single	एकल
single	सिंगल
included	शामिल
home	मुखपृष्ठ
home	होम
home	घर
women	औरतों
women	महिलाएँ
women	महिलाएं
women	महिलाओं
television	टेलीविजन
television	टीवी
television	दूरदर्शन
television	टेलीविज़न
seed	बीज
goals	लक्ष्यों
sources	स्त्रोत
book	बुक
book	किताबे
book	किताब
station	स्टेशन
order	क्रम
order	आदेश
order	अनुक्रम
old	ओल्ड
old	पुराने
old	पुरानी
old	पुराना
old	वृद्ध
old	बूढ़ा
information	एनोटेशन
information	जानकारी
set	सेट
set	नियत
own	अपनी
own	खुद
own	स्वयं
own	अपने
own	अपना
text	पाठ
text	टेक्स्ट
band	बैंड
point	बिंदु
point	पॉइंट
point	पाइंट
river	नदी
top	उपर
top	ऊपर
top	टॉप
top	शीर्ष
main	मेन
main	प्रमुख
language	भाषा
french	फ़्रेंच
french	फ़्रांसीसी
french	फ्रांसीसी
named	नामित
off	बंद
note	नोट
career	आजीविका
career	करियर
original	मूल
original	मौलिक
original	असली
age	उम्र
age	आयु
service	सेवा
established	स्थापित
located	स्थित
located	स्तिथ
said	कहा
website	वेबसाइट
population	आबादी
population	जनसांख्यिकी
air	वायु
air	एयर
german	जर्मन
german	जर्मनी
law	कानून
law	विधि
military	मिलिट्री
military	फौजी
great	महान
great	बड़ा
within	अन्दर
within	भीतर
clubs	चिड़ी
clubs	क्लब
park	उद्यान
park	पार्क
case	केस
case	मामला
london	लंदन
times	बार
times	टाइम्स
although	हालाँकि
although	हालांकि
small	छोटे
small	छोटा
small	छोटी
third	तीसरे
third	तीसरा
different	भिन्न
different	अलग
closed	बंद
art	कला
art	आर्ट
player	खिलाड़ी
final	फ़ाइनल
final	अंतिम
final	फाइनल
community	जातियाँ
held	आयोजित
army	आर्मी
army	फ़ौज
army	सेना
army	फौज
award	पुरस्कार
without	बिना
without	बगैर
death	निधन
death	मोत
death	मौत
built	बनवाया
built	बनवाई
built	निर्मित
men	पुरुषों
men	मर्द
men	मेन
large	बड़े
large	बड़ा
large	बड़ी
large	विशाल
site	साइटें
site	साइट
site	साईट
deletion	हटाना
white	सफेद
white	सफ़ेद
along	साथ
five	पांच
five	पाँच
central	केंद्रीय
central	मध्य
central	सेंट्रल
road	रोड
road	सड़क
free	निशुल्क
free	मुफ्त
free	मुक्त
free	फ्री
free	आजाद
free	फ़्री
include	शामिल
association	एसोसिएशन
association	संघ
down	नीचे
given	दी
given	दिया
given	दिए
source	स्त्रोत
source	सोर्स
california	कैलिफोर्निया
california	कैलिफ़ोर्निया
man	मनुष्य
man	मैन
man	आदमी
man	इन्सान
version	वर्जन
written	लिखी
written	लिखा
created	बनाया
created	बनाए
created	निर्मित
media	मीडिया
black	काले
black	काला
black	ब्लैक
though	हालांकि
report	रिपोर्ट
report	रपट
building	बिल्डिंग
building	भवन
take	लें
take	ले
take	लो
division	प्रभाग
king	बादशाह
king	किंग
edit	संपादन
stadium	स्टेडियम
ship	जहाज
ship	शिप
ship	जलयान
research	अनुसंधान
record	रिकॉर्ड
record	रेकार्ड
record	रिकार्ड
archive	संग्रह
archive	अभिलेखागार
archive	अभिलेख
places	स्थान
cup	कप
records	रिकॉर्ड
often	अकसर
often	अक्सर
received	प्राप्त
side	तरफ
power	पावर
power	शक्ति
education	शिक्षा
know	जानिये
know	जानिए
know	जान
category	श्रेणी
water	वाटर
water	पानी
water	जल
species	प्रजातियां
species	प्रजाति
field	फील्ड
field	फ़ील्ड
near	निकट
australia	आस्ट्रेलिया
video	विडियो
video	वीडियो
island	आइलैंड
island	द्वीप
form	फ़ॉर्म
form	फॉर्म
form	फार्म
form	रूप
find	ढूंढें
find	ढूँढें
play	खेल
project	परियोजना
project	प्रोजेक्ट
radio	रेडियो
proposed	प्रस्तावित
every	हर
example	उदाहरण
live	लाइव
live	सजीव
union	यूनियन
union	संघ
india	भारत
india	इंडिया
india	इण्डिया
next	अगला
special	ख़ास
special	खास
court	कोर्ट
court	न्यायालय
court	अदालत
region	क्षेत्र
region	प्रदेश
little	छोटे
little	छोटा
little	लिटिल
little	छोटी
short	छोटा
short	छोटी
william	विलियम
province	प्रांतों
province	प्रांत
son	बेटा
son	सोन
son	बेटे
france	फ्रांस
france	फ़्रांस
council	काउंसिल
others	अन्य
royal	नवाबी
royal	रॉयल
royal	शाही
current	धारा
current	मौजूदा
street	सड़क
street	गली
full	फुल
full	पूरा
red	लाल
red	रेड
too	भी
san	सान
san	सैन
help	मदद
james	जेम्स
open	खुला
open	ओपन
open	खोलें
force	बल
force	फ़ोर्स
position	पद
position	स्थिति
head	दिमाग़
head	सिर
director	निर्देशक
director	निदेशक
father	चचा
father	बाप
father	पिता
track	ट्रैक
track	रील
http	एचटीटीपी
australian	ऑस्ट्रेलियाई
level	स्तर
late	देरी
late	देर
late	लेट
summer	गर्मियों
summer	गर्मी
summer	गर्मियाँ
society	सोसायटी
moved	स्थानांतरित
office	ऑफिस
office	ऑफ़िस
office	दफ्तर
period	अवधि
period	काल
championship	चैम्पियनशिप
championship	चैंपियनशिप
round	दौर
round	गोल
round	राउंड
story	कहानी
story	स्टोरी
songs	गाने
songs	गीत
songs	गीतों
various	विभिन्न
file	फाइल
file	फ़ाइल
days	दिन
days	दिनों
land	भूमि
land	लैंड
land	जमीन
business	बिज़नेस
business	दुकानदारी
business	व्यापार
business	कारोबार
reason	कारण
america	अमरीका
america	अमेरिका
million	लाख
european	यूरोपियाई
european	यूरोपीय
term	पद
six	छः
six	छक्का
six	छह
post	पोस्ट
why	क्यूँ
why	क्यों
making	बनाने
making	बनाना
subject	विषय
young	युवा
young	जवान
young	यंग
total	कुल
david	डेविड
david	दाउद
science	विज्ञान
related	संबंधित
rock	शैल
rock	रॉक
rock	चट्टान
archived	संग्रहीत
students	छात्रों
started	शुरू
started	प्रारंभ
news	खबर
news	समाचार
news	न्यूज़
news	न्यूज
role	भूमिका
election	चुनाव
albums	एल्बम
present	मौजूद
present	मौजूदा
indian	भारतीय
kingdom	हुकूमत
kingdom	किंगडम
books	पुस्तकें
books	पुस्तकों
books	किताबें
books	किताबे
northern	उत्तरी
love	प्यार
love	मोहब्बत
love	प्रेम
run	चला
run	चलाएँ
run	चलेगी
run	चलाएं
canadian	कनाडाई
press	प्रेस
press	दबाएँ
press	दबाएं
press	दबायें
rather	बजाय
rather	बल्कि
act	एक्ट
act	अधिनियम
editor	एडिटर
came	आया
came	आये
came	आए
schools	स्कूल
schools	स्कूलों
program	प्रोग्राम
once	एकबार
issue	समस्या
social	सोशल
germany	जर्मनी
awards	पुरस्कार
points	बिंदु
points	पॉइंट
points	अंक
similar	समान
say	कहें
say	बोलो
say	कह
background	पृष्ठभूमि
enough	काफी
enough	पर्याप्त
lead	लीड
lead	सीसा
lead	सीसे
common	कॉमन
common	सामान्य
common	आम
data	आँकड़ा
data	डाटा
data	डेटा
color	रंग
better	बेहतर
person	व्यक्ति
services	सेवाएँ
services	सेवाएं
museum	संग्रहालय
battle	लड़ाई
battle	बैटल
went	गए
went	गये
went	गया
went	गई
sports	क्रीड़ा
sports	स्पोर्ट्स
sports	खेल
currently	फिलहाल
hall	हॉल
buildings	भवनों
buildings	भवन
buildings	इमारतें
date	तारीख
date	तारीख़
date	दिनांक
date	तिथि
deleted	विलोपित
deleted	मिटाया
considered	समझी
considered	माना
change	बदलाव
change	बदलें
location	लोकेशन
location	स्थान
must	जरूर
yes	हाँ
yes	हां
our	हमारा
our	हमारे
our	हमारी
least	तनिक
lost	खोई
lost	गुमशुदा
lost	खोया
something	कुछ
review	समीक्षा
together	साथ
robert	राबर्ट
robert	रॉबर्ट
fact	तथ्य
fact	फैक्ट
less	कम
japanese	जापानी
groups	समूह
involved	शामिल
board	बोर्ड
board	बिसात
board	फलक
japan	जापान
japan	जापानी
control	नियंत्रण
control	कंट्रोल
policy	पॉलिसी
policy	नीति
modern	आधुनिक
human	मनुष्य
human	मानव
human	इंसान
half	हाफ़
half	आधा
half	हाफ
design	डिजाइन
design	डिज़ाइन
event	ईवेंट
event	इवेंट
events	घटनाएँ
events	ईवेंट
available	उपलब्धियाँ
done	किया
washington	वाशिंगटन
washington	वॉशिंगटन
real	असली
real	रीयल
real	वास्तविक
real	रियल
start	आरंभ
start	प्रारंभ
personal	पर्सनल
personal	निजी
action	एक्शन
action	कार्रवाई
space	अंतरिक्ष
space	जगह
areas	एटलस
areas	क्षेत्र
areas	क्षेत्रों
star	तारा
star	तारे
star	तारक
star	तारों
star	स्टार
really	सचमुच
really	वाकई
china	चीन
possible	संभव
paul	पाल
paul	पॉल
taken	लिया
far	दूर
minister	मंत्री
lake	झील
popular	लोकप्रिय
married	शादीशुदा
founded	स्थापित
europe	यूरोप
europe	यूरोपीय
away	दूर
teams	टीम
teams	टीमों
low	कम
michael	माइकल
pages	पृष्ठ
pages	पेज
pages	पन्ने
pages	पृष्ठों
light	रोशनी
light	हल्का
light	लाइट
big	बड़े
big	बड़ा
big	बड़ी
big	बिग
seen	देखा
seen	देखी
release	रिलीज़
release	रिलीज
episode	प्रकरण
episode	एपिसोड
episode	एपीसोड
wrote	लिखा
republic	गणराज्य
republic	गणतंत्र
thomas	थॉमस
companies	कंपनियों
companies	कंपनियाँ
russian	रूसी
thanks	धन्यबाद
race	दौड़
race	रेस
route	मार्ग
route	रूट
recorded	दर्ज
recorded	अंकित
someone	किसी
civil	दीवानी
civil	सिविल
police	पुलिस
listed	सूचीबद्ध
users	उपयोगकर्ताओं
users	उपयोगकर्ता
users	उपयोक्ता
template	टेम्पलेट
instead	बजाय
body	जिस्म
body	बॉडी
body	शरीर
body	देह
question	प्रश्न
question	सवाल
italian	इतालवी
featured	प्रदर्शित
week	हफ्ते
week	सप्ताह
editors	संपादन
texas	टेक्सास
chief	प्रमुख
close	करीब
close	बंद
himself	खुद
match	माचिस
match	मिलाएँ
match	मैच
come	आईये
come	आइये
opened	खोला
opened	खोली
tour	भ्रमण
tour	टूर
tour	दौरे
sea	सागर
actually	दरअसल
cross	क्रास
cross	पार
cross	क्रॉस
health	सेहत
institute	इंस्टीट्यूट
caps	कैप्स
forces	बलों
forces	शक्तियां
green	हरित
green	हरी
green	हरा
green	ग्रीन
rights	अधिकारों
evidence	सबूत
arts	कला
probably	शायद
probably	संभवतः
bar	पट्टी
bar	बार
problem	समस्या
problem	प्रॉब्लम
look	देखो
issues	समस्याएँ
issues	मुद्दे
average	औसत
network	नेटवर्क
win	जीत
wife	पत्नी
wife	बीवी
returned	लौटाया
returned	लौटे
night	रात
centre	केंद्र
middle	मध्य
completed	पूरा
completed	समाप्त
elected	चुनी
elected	निर्वाचित
african	अफ्रीकी
african	अफ़्रीकी
able	समर्थ
stage	चरण
stage	स्टेज
addition	अलावा
addition	जोड़
ireland	आयरलैंड
saint	संत
self	स्वयं
self	स्वः
continued	जारी
stations	स्टेशन
mother	माँ
africa	अफ़्रीका
africa	अफ्रीका
africa	अफ़्रीकी
spanish	स्पैनिश
spanish	स्पेनिश
grand	ग्रैंड
committee	समिति
committee	कमेटी
things	बातों
things	चीजें
things	चीज़ें
things	बातें
things	बाते
fire	फायर
fire	आग
changed	बदला
gold	सोने
gold	सोना
gold	गोल्ड
gold	स्वर्ण
gold	सुनहरा
female	स्त्री
course	कोर्स
directed	निर्देशित
months	महीनों
months	माह
months	महीने
chinese	चीनी
chinese	चाइनीज
previous	पिछले
previous	पिछला
add	जोड़ें
festival	त्यौहार
festival	त्योहार
festival	फ़ेस्टिवल
festival	पर्व
peter	पीटर
basketball	बास्केटबॉल
move	चाल
move	मूव
performance	निष्पादन
performance	प्रदर्शन
standard	मानक
means	मतलब
means	यानि
give	दे
artist	कलाकार
word	वर्ड
word	शब्द
blue	नीला
blue	डीलक्स
blue	ब्लू
announced	घोषित
value	मान
christian	ईसाई
private	प्राइवेट
private	निजी
catholic	कैथोलिक
artists	कलाकार
artists	कलाकारों
includes	शामिल
view	देखें
thus	यूँ
almost	लगभग
baseball	बेसबॉल
seven	सात
ever	कभी
technology	तकनीक
technology	प्रौद्योगिकी
olympics	ओलंपिक्स
olympics	ओलंपिक
future	भविष्य
census	जनगणना
census	जनसांख्यिकी
results	परिणामों
results	रिजल्ट
results	परिणाम
return	रिटर्न
return	वापसी
quality	क्वालिटी
zealand	जीलैंड
front	अग्र
cover	आवरण
cover	कवर
model	मॉडल
read	पढ़ें
read	पढ़े
read	पढ़ा
strong	मजबूत
strong	मज़बूत
strong	बलवान
coach	कोच
mark	चिह्नित
rev	रेव
organization	संगठन
richard	रिचर्ड
html	एचटीएमएल
car	कार
car	गाड़ी
attack	हमले
attack	हमला
outside	बाहर
study	पढ़ाई
brother	भाई
writer	रचनाकार
writer	राइटर
characters	किरदार
characters	अक्षर
characters	वर्ण
musical	संगीतमय
medical	चिकित्सीय
medical	मेडिकल
medical	चिकित्सा
countries	देशो
countries	देशों
writing	लिखकर
writing	लिखना
writing	लिखने
interest	रुचि
interest	रूचि
interest	ब्याज
killed	मारे
label	लेबल
fair	मेले
fair	फेयर
fair	उचित
fair	मेला
search	खोजें
search	खोज
search	ढूंढें
bay	बे
bay	खाड़ी
especially	विशेषकर
library	लाइब्रेरी
library	पुस्तकालयों
eventually	अंततः
eventually	आखिरकार
management	प्रबंधन
management	प्रबन्धन
features	विशेषताएं
features	विशेषताएँ
features	सुविधाएँ
navy	नौसेना
navy	नेवी
guitar	गिटार
hill	पहाड़ी
hill	हिल
sure	पक्का
sure	ज़रूर
sure	यकीनन
lower	निम्नतर
daughter	बेटी
appointed	नियुक्त
reading	पढ़ना
reading	पढना
systems	सिस्टम
systems	सिस्टम्स
systems	प्रणालियों
debut	डेब्यू
movement	आंदोलन
movement	गति
always	हमेशा
always	सदा
actor	अभिनेता
actor	एक्टर
natural	कुदरती
clear	साफ
got	मिली
got	मिला
chicago	शिकागो
ten	दस
ten	दहला
ten	टेन
individual	व्यक्ति
rule	शासन
etc	आदि
lists	सूची
lists	सूचियां
lists	सूचियाँ
thought	सोचा
thought	विचार
brown	ब्राउन
brown	भूरा
hand	हाथ
reliable	विश्वसनीय
base	बेस
base	आधार
capital	पूंजी
valley	घाटी
bank	बैंकर
bank	बैंक
gave	दी
gave	दिया
ground	ग्राउंड
ground	जमीन
reached	पहुंचा
reached	पहुँचे
italy	इटली
believe	मानना
leader	नेता
active	सक्रिय
block	खंड
bridge	पुल
bridge	सेतु
collection	संग्रह
collection	कलेक्शन
collection	संग्रहण
request	अनुरोध
request	निवेदन
soon	जल्द
leading	अग्रणी
olympic	ओलम्पिक
sold	बेची
writers	लेखकों
studio	स्टूडियो
mexico	मेक्सिको
mexico	मैक्सिको
theatre	रंगमंच
theatre	थिएटर
empire	साम्राज्य
length	लम्बाई
length	लंबाई
islands	आइलैंड्स
create	बनाएं
create	बनाएँ
redirect	रीडायरेक्ट
additional	अतिरिक्त
soviet	सोवियत
words	शब्दों
words	लफ़्ज़ों
words	शब्द
notes	नोट्स
notes	नोट
hockey	हॉकी
novel	अनोखा
code	संहिता
code	कोड
referee	रेफरी
fourth	चौथा
fourth	चौथी
sport	खेल
mary	मैरी
mary	मरियम
airport	एयरपोर्ट
sound	ध्वनि
status	स्टेटस
status	स्थिति
status	औकात
irish	आयरिश
placed	लगाई
child	संतति
child	बालक
child	बच्चा
child	बच्चे
child	चाइल्ड
perhaps	शायद
idea	आईडिया
idea	विचार
register	रजिस्टर
register	पंजीकरण
eight	आठ
problems	समस्याएँ
problems	समस्याएं
native	मूल
native	नेटिव
native	देशी
coverage	कवरेज
channel	चैनल
minor	लघु
minor	हीन
minor	माइनर
minor	नाबालिग
whose	जिनके
whose	किसका
whose	जिनकी
foundation	फाउंडेशन
units	इकाइयों
units	इकाईयाँ
units	यूनिट
units	इकाइयाँ
movie	मूवी
movie	फिल्म
runs	दौड़
runs	रन
runs	रनों
ice	बर्फ़
ice	आइस
ice	बर्फ
simply	बस
limited	सीमित
unit	यूनिट
unit	ईकाई
student	छात्र
test	परीक्षा
test	जांच
test	जाँच
test	परीक्षण
bill	बिल
bill	विधेयक
parts	पार्ट्स
parts	भाग
theory	सिद्धांत
account	खाता
vote	वोट
computer	कंप्यूटर
carolina	कैरोलिना
tournament	टूर्नामेंट
poland	पोलैंड
poland	कैंडल
wales	वेल्स
winning	जीतना
lot	लॉट
hospital	चिकित्सालय
taking	लेने
mountain	पर्वत
mountain	पहाड़
higher	उच्चतर
cases	मामलों
cases	केस
cases	मामले
angeles	एंजिल्स
editing	संपादन
food	भोजन
food	खाना
multiple	मल्टीपल
multiple	बहु
terms	शर्तों
terms	शर्तें
sir	श्रीमान
sir	साहब
sir	महोदय
sir	सर
thing	बात
square	स्क्वायर
try	कोशिश
topic	विषय
woman	औरत
woman	नारी
woman	स्त्री
categories	श्रेणियाँ
categories	श्रेणी
greek	यूनानी
recent	हालिया
recent	हाल
sent	भेजी
sent	प्रेषित
sent	भेजा
copyright	कॉपीराइट
copyright	कापीराइट
speed	रफ्तार
speed	गति
templates	टेम्पलेट्स
templates	टेम्पलेट
money	मुद्रा
money	मनी
saw	देखा
saw	आरी
saw	देखी
senior	वरिष्ठ
selected	चयनित
politician	राजनेता
true	सच
true	सही
true	सच्चा
required	जरूरी
cities	शहर
cities	शहरों
trade	व्यापार
anti	एंटी
sun	सूरज
sun	रवि
finished	समाप्त
earth	पृथ्वी
earth	धरती
access	पहुँच
access	एक्सेस
access	पहुंच
access	अभिगम
seasons	मौसम
seasons	सीज़न
journal	दैनिकी
journal	जर्नल
beginning	शुरुआत
beginning	आरम्भ
beginning	शुरूआत
software	सॉफ़्टवेयर
software	सॉफ्टवेयर
software	साफ्टवेयर
famous	मशहूर
religious	धार्मिक
martin	मार्टिन
god	अल्लाह
god	ईश्वर
god	भगवान
bit	बिट
running	दौड़ना
running	कार्यशील
missing	लापता
structure	स्ट्रक्चर
structure	ढांचा
rural	ग्रामीण
decision	फैसला
quite	काफी
hit	हिट
minutes	मिनट
minutes	मिनट्स
spain	स्पेन
whole	पूरी
whole	पूरा
whole	पूरे
joseph	जोसफ
joseph	यूसुफ
lord	भगवान
lord	प्रभु
lord	रब
web	वेब
function	फंक्शन
function	फ़ंक्शन
function	फलन
louis	लुई
assembly	असेम्बली
assembly	विधानसभा
assembly	सभा
queen	रानी
uses	उपयोग
ohio	ओहियो
jan	जन
operation	ऑपरेशन
operation	आपरेशन
call	काल
call	कॉल
successful	सफल
successful	कामयाब
legal	लीगल
legal	कानूनी
legal	विधिक
prince	राजकुमार
prince	प्रिन्स
prince	प्रिंस
mean	मतलब
mean	औसत
jewish	यहूदी
staff	स्टाफ़
staff	स्टाफ
goal	गोल
agree	सहमत
bad	खराब
bad	ख़राब
populated	आबादी
nature	प्रकृति
allowed	अनुमति
allowed	अनुमत
captain	कैप्टन
captain	कप्तान
mount	माउंट
calculated	गणना
hard	हार्ड
hard	कड़ा
hard	कठिन
hard	कठोर
hard	मेहनत
hard	मुश्किल
manager	प्रबंधक
manager	मैनेजर
earlier	पहले
elections	चुनाव
elections	चुनावों
meet	मिलें
box	डिब्बा
box	बॉक्स
box	बक्सा
lines	पंक्तियां
lines	रेखाएं
lines	लकीरें
lines	लाइनों
democratic	लोकतांत्रिक
success	सफल
success	सफलता
success	कामयाबी
associated	संबद्ध
traditional	पारम्परिक
traditional	पारंपरिक
traditional	परंपरागत
rest	आराम
rest	रेस्ट
rest	बाकी
particularly	विशेषकर
wide	वाइड
wide	चौड़ी
month	महीना
month	महीने
month	माह
care	केयर
care	परवाह
admin	एडमिन
commission	कमीशन
commission	आयोग
plan	प्लान
plan	योजना
therefore	अतः
therefore	इसलिए
command	कमांड
nomination	नामांकन
parties	पार्टियाँ
parties	दल
parties	पार्टियों
michigan	मिशिगन
approximately	लगभग
master	मास्टर
usa	यूएसए
stop	रोकें
engine	इंजन
response	जवाब
illinois	इलिनोइस
highest	उच्चतम
engineering	इंजीनियरी
engineering	इंजीनियरिंग
silver	चांदी
separate	जुदा
separate	अलग
separate	पृथक
secretary	सचिव
lee	ली
recording	रिकार्डिंग
recording	रिकॉर्डिंग
prime	प्राइम
uploaded	अपलोड
youth	जवानी
youth	युवा
youth	युवाओं
scotland	स्कॉटलैंड
houses	मकानों
houses	मकान
houses	घरों
heart	हृदय
heart	ह्रदय
heart	दिल
room	कक्ष
room	कमरा
room	कमरे
room	रूम
stone	पत्थर
stone	स्टोन
shown	दिखाया
deal	डील
deal	सौदा
deal	सौदे
drama	ड्रामा
scores	अंक
scores	स्कोर
dead	मर
dead	मुर्दे
key	चाबी
key	कुंजी
shot	गोली
shot	शॉट
turn	मोड़ना
turn	बारी
turn	फेरे
scottish	स्कॉटिश
plant	पौधे
plant	पौधा
plant	पादप
plant	संयंत्र
promoted	प्रचारित
whom	जीस
whom	जिसे
whom	जिसको
villages	गावों
villages	गांवों
languages	भाषाएँ
languages	भाषा
languages	भाषाएं
internet	इंटरनेट
internet	अंतरजाल
leave	छोड़ें
leave	छोड़
feel	महसूस
merge	मिलाएं
merge	मिलाएँ
merge	विलय
mostly	अधिकांशतः
mostly	ज्यादातर
mostly	ज़्यादातर
ancient	प्राचीन
property	संपत्ति
property	गुण
property	प्रॉपर्टी
programs	प्रोग्राम
picture	पिक्चर
finally	आखिरकार
ships	जहाज
ships	जहाजों
secondary	माध्यमिक
nations	राष्ट्रों
edward	एडवर्ड
annual	सालाना
digital	डिजिटल
mission	मिशन
lived	जिया
seat	सीट
profile	रूपरेखा
profile	प्रोफाइल
profile	प्रोफ़ाइल
dance	डांस
dance	नृत्य
prize	ईनाम
prize	इनाम
prize	पुरस्कार
georgia	जॉर्जिया
port	पोर्ट
port	बंदरगाह
port	बंदरगाहों
castle	किला
pass	दर्रा
pass	पास
transport	परिवहन
transport	ट्रांसपोर्ट
organizations	संगठन
fall	गिरा
fall	गिरना
fall	गिर
fall	पतन
global	वैश्विक
opinion	राय
commander	कमांडर
fort	किला
fort	फोर्ट
effect	असर
effect	प्रभाव
opening	ओपनिंग
opening	खोलने
